"Entity Name","Branch Region","Branch","Division","Due Date","Top Level Customer ID","Top Level Customer Name","Customer ID","Customer","Billing Group ID","Billing Group","Invoice ID","Invoice #","Issue Date","Total","Outstanding","Delivery","Status"
"Connect Resources (NSW) Pty Ltd","","","","24.3.2024","146","R.A. Smith Contracting Pty Ltd","146","R.A. Smith Contracting Pty Ltd","","","28148","NSW1608","10.3.2024","1,897.63","1,897.63","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","162","WTC Group Aust Pty Ltd","162","WTC Group Aust Pty Ltd","","","28149","NSW1609","10.3.2024","3,469.81","3,469.81","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","162","WTC Group Aust Pty Ltd","162","WTC Group Aust Pty Ltd","","","28150","NSW1610","10.3.2024","4,057.58","4,057.58","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","162","WTC Group Aust Pty Ltd","162","WTC Group Aust Pty Ltd","","","28151","NSW1611","10.3.2024","3,506.14","3,506.14","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","162","WTC Group Aust Pty Ltd","162","WTC Group Aust Pty Ltd","","","28152","NSW1612","10.3.2024","3,506.14","3,506.14","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","28153","NSW1613","12.3.2024","530.74","530.74","Email/PDF","Viewed"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","28154","NSW1614","12.3.2024","2,967.43","2,967.43","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","28155","NSW1615","12.3.2024","3,118.35","3,118.35","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","28156","NSW1616","12.3.2024","606.19","606.19","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","28157","NSW1617","12.3.2024","2,627.45","2,627.45","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","28158","NSW1618","12.3.2024","3,251.12","3,251.12","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","28159","NSW1619","12.3.2024","3,251.12","3,251.12","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","28160","NSW1620","12.3.2024","3,251.12","3,251.12","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","11.4.2024","98","Delivering for Customers (D4C)","98","Delivering for Customers (D4C)","","","28162","NSW1622","12.3.2024","8,273.53","8,273.53","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","11.4.2024","98","Delivering for Customers (D4C)","98","Delivering for Customers (D4C)","","","28163","NSW1623","12.3.2024","4,121.26","4,121.26","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","119","Fulton Hogan Industries Pty Ltd","119","Fulton Hogan Industries Pty Ltd","","","28164","NSW1624","12.3.2024","1,426.21","1,426.21","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","119","Fulton Hogan Industries Pty Ltd","119","Fulton Hogan Industries Pty Ltd","","","28165","NSW1625","12.3.2024","967.04","967.04","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","119","Fulton Hogan Industries Pty Ltd","119","Fulton Hogan Industries Pty Ltd","","","28166","NSW1626","12.3.2024","3,001.08","3,001.08","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","119","Fulton Hogan Industries Pty Ltd","119","Fulton Hogan Industries Pty Ltd","","","28167","NSW1627","12.3.2024","2,363.26","2,363.26","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","119","Fulton Hogan Industries Pty Ltd","119","Fulton Hogan Industries Pty Ltd","","","28168","NSW1628","12.3.2024","517.69","517.69","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","119","Fulton Hogan Industries Pty Ltd","119","Fulton Hogan Industries Pty Ltd","","","28169","NSW1629","12.3.2024","1,648.98","1,648.98","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","119","Fulton Hogan Industries Pty Ltd","119","Fulton Hogan Industries Pty Ltd","","","28170","NSW1630","12.3.2024","2,669.12","2,669.12","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","119","Fulton Hogan Industries Pty Ltd","119","Fulton Hogan Industries Pty Ltd","","","28171","NSW1631","12.3.2024","2,466.29","2,466.29","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","26.3.2024","69","Georgiou","69","Georgiou","","","28172","NSW1632","12.3.2024","3,037.45","3,037.45","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","26.3.2024","69","Georgiou","69","Georgiou","","","28173","NSW1633","12.3.2024","2,474.23","2,474.23","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","26.3.2024","69","Georgiou","69","Georgiou","","","28174","NSW1634","12.3.2024","4,313.32","4,313.32","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","26.3.2024","69","Georgiou","69","Georgiou","","","28175","NSW1635","12.3.2024","3,301.57","3,301.57","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","26.3.2024","69","Georgiou","69","Georgiou","","","28176","NSW1636","12.3.2024","3,187.98","3,187.98","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","26.3.2024","69","Georgiou","69","Georgiou","","","28177","NSW1637","12.3.2024","3,177.24","3,177.24","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","26.3.2024","149","J K WILLIAMS CONTRACTING PTY LIMITED","149","J K WILLIAMS CONTRACTING PTY LIMITED","","","28178","NSW1638","12.3.2024","19,781.25","19,781.25","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","26.3.2024","108","Mainmark Ground Engineering Pty Ltd","108","Mainmark Ground Engineering Pty Ltd","","","28179","NSW1639","12.3.2024","2,420.64","2,420.64","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","26.3.2024","146","R.A. Smith Contracting Pty Ltd","146","R.A. Smith Contracting Pty Ltd","","","28180","NSW1640","12.3.2024","4,237.92","4,237.92","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","1.5.2024","117","WESTERN EARTHMOVING PTY LTD","117","WESTERN EARTHMOVING PTY LTD","","","28181","NSW1641","12.3.2024","490.80","490.80","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","1.5.2024","117","WESTERN EARTHMOVING PTY LTD","117","WESTERN EARTHMOVING PTY LTD","","","28182","NSW1642","12.3.2024","490.80","490.80","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","162","WTC Group Aust Pty Ltd","162","WTC Group Aust Pty Ltd","","","28183","NSW1643","12.3.2024","3,712.10","3,712.10","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","162","WTC Group Aust Pty Ltd","162","WTC Group Aust Pty Ltd","","","28184","NSW1644","12.3.2024","4,909.06","4,909.06","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","162","WTC Group Aust Pty Ltd","162","WTC Group Aust Pty Ltd","","","28185","NSW1645","12.3.2024","4,909.06","4,909.06","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","119","Fulton Hogan Industries Pty Ltd","119","Fulton Hogan Industries Pty Ltd","","","28186","NSW1646","12.3.2024","1,369.51","1,369.51","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","28662","NSW1647","23.3.2024","2,990.47","2,990.47","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","28663","NSW1648","23.3.2024","3,033.39","3,033.39","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","28664","NSW1649","23.3.2024","3,033.39","3,033.39","Email/PDF","Sent"
"Connect Resources (NSW) Pty Ltd","","","","30.4.2024","90","Attcall Group Pty Ltd","90","Attcall Group Pty Ltd","","","28665","NSW1650","23.3.2024","3,033.39","3,033.39","Email/PDF","Sent"
