"Entity Name","Branch Region","Branch","Division","Due Date","Top Level Customer ID","Top Level Customer Name","Customer ID","Customer","Billing Group ID","Billing Group","Invoice ID","Invoice #","Issue Date","Total","Outstanding","Delivery","Status"
"Connect Resources (QLD) Pty Ltd","","","","13.12.2024","213","MXB Group","213","MXB Group","","","39078","QLD2027","29.11.2024","3,001.19","3,001.19","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","13.12.2024","200","Leader Earthworks","200","Leader Earthworks","","","39079","QLD2028","29.11.2024","591.54","591.54","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","13.12.2024","189","Hall Contracting Pty Ltd","189","Hall Contracting Pty Ltd","","","39080","QLD2029","29.11.2024","1,076.85","1,076.85","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","13.12.2024","168","Oakridge Services","168","Oakridge Services","","","39082","QLD2030","29.11.2024","700.78","700.78","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","166","Aqua Pipeline Contracting","166","Aqua Pipeline Contracting","","","39096","QLD2031","5.12.2024","2,555.03","2,555.03","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","166","Aqua Pipeline Contracting","166","Aqua Pipeline Contracting","","","39097","QLD2032","5.12.2024","7,575.43","7,575.43","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","166","Aqua Pipeline Contracting","166","Aqua Pipeline Contracting","","","39098","QLD2033","5.12.2024","3,001.19","3,001.19","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","166","Aqua Pipeline Contracting","166","Aqua Pipeline Contracting","","","39099","QLD2034","5.12.2024","3,210.57","3,210.57","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","164","Australian Civil Solutions","164","Australian Civil Solutions","","","39100","QLD2035","5.12.2024","3,109.23","3,109.23","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","41","BMD Constructions Pty Ltd","41","BMD Constructions Pty Ltd","","","39101","QLD2036","5.12.2024","2,828.88","2,828.88","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","41","BMD Constructions Pty Ltd","41","BMD Constructions Pty Ltd","","","39102","QLD2037","5.12.2024","2,828.88","2,828.88","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","41","BMD Constructions Pty Ltd","41","BMD Constructions Pty Ltd","","","39103","QLD2038","5.12.2024","2,925.32","2,925.32","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","41","BMD Constructions Pty Ltd","41","BMD Constructions Pty Ltd","","","39104","QLD2039","5.12.2024","2,313.77","2,313.77","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","41","BMD Constructions Pty Ltd","41","BMD Constructions Pty Ltd","","","39105","QLD2040","5.12.2024","3,239.74","3,239.74","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","41","BMD Constructions Pty Ltd","41","BMD Constructions Pty Ltd","","","39106","QLD2041","5.12.2024","2,850.06","2,850.06","Email/PDF","Sent"
"Connect Resources (QLD) Pty Ltd","","","","19.12.2024","41","BMD Constructions Pty Ltd","41","BMD Constructions Pty Ltd","","","39107","QLD2042","5.12.2024","2,970.92","2,970.92","Email/PDF","Sent"
