"Entity Name","Branch Region","Branch","Division","Due Date","Top Level Customer ID","Top Level Customer Name","Customer ID","Customer","Billing Group ID","Billing Group","Invoice ID","Invoice #","Issue Date","Total","Outstanding","Delivery","Status"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3528","INV4261","14.6.2020","2,203.97","2,203.97","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3529","INV4262","14.6.2020","1,613.50","1,613.50","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3530","INV4263","14.6.2020","2,048.05","2,048.05","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3531","INV4264","14.6.2020","2,931.19","2,931.19","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3532","INV4265","14.6.2020","2,720.82","2,720.82","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3533","INV4266","14.6.2020","2,756.23","2,756.23","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","21","Platinum Plant & Equipment Hire","21","Platinum Plant & Equipment Hire","","","3534","INV4267","14.6.2020","71,436.76","71,436.76","Post","Sent"
"Connect Resources Pty Ltd","","","","28.6.2020","35","Stabilised Pavements of Australia","35","Stabilised Pavements of Australia","","","3535","INV4268","14.6.2020","2,574.45","2,574.45","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","24","Wormall Civil","24","Wormall Civil","","","3536","INV4269","14.6.2020","271.79","271.79","Post","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","24","Wormall Civil","24","Wormall Civil","","","3537","INV4270","14.6.2020","400.73","400.73","Post","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","24","Wormall Civil","24","Wormall Civil","","","3538","INV4271","14.6.2020","780.25","780.25","Post","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","24","Wormall Civil","24","Wormall Civil","","","3539","INV4272","14.6.2020","390.13","390.13","Post","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","24","Wormall Civil","24","Wormall Civil","","","3540","INV4273","14.6.2020","1,560.50","1,560.50","Post","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","24","Wormall Civil","24","Wormall Civil","","","3541","INV4274","14.6.2020","2,057.46","2,057.46","Post","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","31","Mayday Rental","31","Mayday Rental","","","3542","INV4275","14.6.2020","2,366.10","2,366.10","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","31","Mayday Rental","31","Mayday Rental","","","3543","INV4276","14.6.2020","2,429.20","2,429.20","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","28.6.2020","11","GSS Hire (Aust)","11","GSS Hire (Aust)","","","3544","INV4277","14.6.2020","1,697.64","1,697.64","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","22","DOWSING GROUP PTY LTD","22","DOWSING GROUP PTY LTD","","","3545","INV4278","14.6.2020","2,284.41","2,284.41","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","22","DOWSING GROUP PTY LTD","22","DOWSING GROUP PTY LTD","","","3546","INV4279","14.6.2020","1,404.19","1,404.19","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","22","DOWSING GROUP PTY LTD","22","DOWSING GROUP PTY LTD","","","3547","INV4280","14.6.2020","372.66","372.66","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","22","DOWSING GROUP PTY LTD","22","DOWSING GROUP PTY LTD","","","3548","INV4281","14.6.2020","695.62","695.62","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","22","DOWSING GROUP PTY LTD","22","DOWSING GROUP PTY LTD","","","3549","INV4282","14.6.2020","1,030.23","1,030.23","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","22","DOWSING GROUP PTY LTD","22","DOWSING GROUP PTY LTD","","","3550","INV4283","14.6.2020","966.60","966.60","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","22","DOWSING GROUP PTY LTD","22","DOWSING GROUP PTY LTD","","","3551","INV4284","14.6.2020","524.83","524.83","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","22","DOWSING GROUP PTY LTD","22","DOWSING GROUP PTY LTD","","","3552","INV4285","14.6.2020","2,486.00","2,486.00","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3553","INV4286","14.6.2020","2,169.88","2,169.88","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","31","Mayday Rental","31","Mayday Rental","","","3554","INV4287","14.6.2020","1,916.20","1,916.20","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","31","Mayday Rental","31","Mayday Rental","","","3555","INV4288","14.6.2020","1,916.20","1,916.20","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","31","Mayday Rental","31","Mayday Rental","","","3556","INV4289","14.6.2020","2,933.96","2,933.96","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","31","Mayday Rental","31","Mayday Rental","","","3557","INV4290","14.6.2020","2,366.10","2,366.10","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","14.8.2020","28","Arup Pty Ltd & B.M.D. Constructions Pty Ltd & Ventia Pty Ltd T/A Smartways JV","28","Arup Pty Ltd & B.M.D. Constructions Pty Ltd & Ventia Pty Ltd T/A Smartways JV","","","3558","INV4291","18.6.2020","2,355.52","2,355.52","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","2.7.2020","41","BMD Constructions Pty Ltd","41","BMD Constructions Pty Ltd","","","3559","INV4292","18.6.2020","2,760.56","2,760.56","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","25","Buckby Contracting Pty Ltd","25","Buckby Contracting Pty Ltd","","","3560","INV4293","18.6.2020","446.52","446.52","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","25","Buckby Contracting Pty Ltd","25","Buckby Contracting Pty Ltd","","","3561","INV4294","18.6.2020","1,328.43","1,328.43","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","25","Buckby Contracting Pty Ltd","25","Buckby Contracting Pty Ltd","","","3562","INV4295","18.6.2020","1,420.06","1,420.06","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","25","Buckby Contracting Pty Ltd","25","Buckby Contracting Pty Ltd","","","3563","INV4296","18.6.2020","1,682.64","1,682.64","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","25","Buckby Contracting Pty Ltd","25","Buckby Contracting Pty Ltd","","","3564","INV4297","18.6.2020","1,906.95","1,906.95","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","25","Buckby Contracting Pty Ltd","25","Buckby Contracting Pty Ltd","","","3565","INV4298","18.6.2020","1,994.93","1,994.93","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","25","Buckby Contracting Pty Ltd","25","Buckby Contracting Pty Ltd","","","3566","INV4299","18.6.2020","2,350.36","2,350.36","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","30.7.2020","25","Buckby Contracting Pty Ltd","25","Buckby Contracting Pty Ltd","","","3567","INV4300","18.6.2020","2,410.07","2,410.07","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","2.7.2020","26","CPB Contractors Pty Ltd","26","CPB Contractors Pty Ltd","","","3568","INV4301","18.6.2020","3,485.63","3,485.63","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","2.7.2020","26","CPB Contractors Pty Ltd","26","CPB Contractors Pty Ltd","","","3569","INV4302","18.6.2020","3,932.50","3,932.50","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","2.7.2020","26","CPB Contractors Pty Ltd","26","CPB Contractors Pty Ltd","","","3570","INV4303","18.6.2020","3,432.00","3,432.00","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3571","INV4304","18.6.2020","2,785.29","2,785.29","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3572","INV4305","18.6.2020","849.57","849.57","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3573","INV4306","18.6.2020","2,399.74","2,399.74","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3574","INV4307","18.6.2020","829.66","829.66","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3575","INV4308","18.6.2020","829.66","829.66","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3576","INV4309","18.6.2020","3,187.87","3,187.87","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3577","INV4310","18.6.2020","1,753.11","1,753.11","Email/PDF","Sent"
"Connect Resources Pty Ltd","","","","31.7.2020","39","DK Kaartdijin","39","DK Kaartdijin","","","3578","INV4311","18.6.2020","1,679.24","1,679.24","Email/PDF","Sent"
